,bassa,french
520,"Mu kii a bé hoñol matémb ma bibégés bipubi i Yérusalem, ntôptjémbi a bi loñge inyu Yéhôva i hiémbi hi yé hana i ngii.","Réfléchissant à la réinstallation à Jérusalem, le psalmiste a chanté les paroles ci-dessus au sujet de Jéhovah."
521,Mu kiki Lôk Yuda i bé minkôm i Babilôn; i bééna bé ngôñ i tôp tjémbi.,"Exilés à Babylone, les Israélites n’avaient pas envie de chanter."
522,Nlôñ 4: Bingond gwobisôna bi ntôp tjémbi gw’a suhlana,Verset 4 : Les filles du chant semblent avoir la voix basse.
523,"Inyuki ni di nwas le, bikwéha gwés bi makiñ bi sôñga bés i bégés Yéhôva ni tjémbi?","Alors, pourquoi se retenir de chanter des louanges à Jéhovah à cause d’une voix de chant imparfaite ?"
524,"Hiémbi ’mondo, hi ñañal Ane Yésu;","Ce chant joyeux est chanté par les humbles,"
525,Baa yak bañga dinuni di gwé ngôñ le ba kôôbana tjo ngim nloñ le di nyodnege mu inyu puuwe?,Et qu’est- ce qui est plus joli : le bruit d’un avion ou le chant d’un oiseau ?
526,"I mbus 60 ñwii me ntégbaha mu biôn, me bi nôgda le me nyila toi bañga man Potô Rikô, hala wee coquí, jôl li nkoñgo wada u niñ nyoo i Potô Rikô, u u ntôp le ko-kee, ko-kee, i ngéda u u nsude.","Après 60 ans sur l’île, je me sentais aussi portoricain qu’une coquí, la fameuse petite grenouille portoricaine qui chante ko-ki, ko-ki à la tombée de la nuit."
527,"Ikété kaat Hiémbi hi Salômô, kiñe a ñunda le ngandak yé lingwañ i bi la bé boñ le a bana to numbe mudaa a ngwés.","Dans le Chant de Salomon, ou Cantique des cantiques, le roi reconnaît que même de fabuleuses richesses ne peuvent acheter l’amour."
528,"Ni nla ki nigil tjémbi di ga tuba i makoda. I mbus yigil, ni nla kabna bineene.","Certains aiment s’entraîner à chanter les cantiques pour les réunions, et trouvent agréable de boire ou de manger quelque chose après le culte familial."
529,"Lo, di bégés nye lôñni ñem maséé!","Chante avec moi, louons Dieu par des psaumes !"
530,"Ni hôya bañ: Soho ni emble ndugi nsik ngélé yada, mbus, likoda li ga tôp hiémbi hi yondo.","Rappel : Avant que l’assistance chante le nouveau cantique, faire écouter la musique une fois en entier."
531,"Ngéda Néhémia a bé éga bon ba Israel i tiimba oñ mapénd ma Yérusalem, a tjek ki batôp tjémbi ba Lôk Lévi inyu éga ntuba ni bikôkôda.","Quand le gouverneur Nehémia a dirigé la reconstruction de la muraille de Jérusalem, il a aussi organisé les chanteurs lévites avec un orchestre complet."
532,"Inyu kôhna biniigana bipe bi bi nhôla we i lémés kiñ yoñ i ntuba, béñge JW Nkuu Biliñgeliñge i sôñ Libuy li nyéé 2014 .",Tu trouveras d’autres conseils pour améliorer ta voix de chant dans le discours Préparons- nous à chanter les nouveaux cantiques sur JW Télédiffusion .
533,. Kii i nla sôñga bahogi i tôp tjémbi ni maséé i makoda ma sonde ni makoda makeñi?,. a) À cause de quoi certains hésitent- ils à chanter aux réunions et aux assemblées ?
534,"I mayibil ma témpel, nsik ni ntuba bi bééna mahee ngandak.","Lors de l’inauguration du temple, la musique et le chant ont eu un rôle important."
535,"Minsik mi, mi yé nkôôbaga i nya i yé le mi nkôôba miñem nwés, ni mahoñol més i emble minkwel mi ga noñ.",Ces musiques sont composées de façon à nous donner envie de chanter et à préparer notre cœur à écouter l’enseignement qui suit.
536,Kii di nlama bigda ibale woñi u nsôñga bés i loñge?,Que faut- il se dire si la crainte nous retient de chanter ?
537,"Mbidga: Bôk ndugi, tuk nsik ngélé yada, mbus kal likoda le li tôp hiémbi hi mondo.","Rappel : Avant que l’assistance chante le nouveau cantique, faire écouter la musique une fois en entier."
538,Di nla gwélél ngéda bibégés bi ndap lihaa inyu nigil tjémbi ni bibañga gwap.,Nous pouvons profiter du culte familial pour nous entraîner à les chanter et à en apprendre les paroles.
539,"Ilole u yônôs bot yoñ ni bikaat inyu ke i likoda, gwélél kei yoñ inyu noñ minkwel nwomisôna ni inyu tôp tjémbi.","Au lieu d’apporter de nombreuses publications imprimées à la réunion, utilise ton smartphone ou ta tablette pour suivre les différentes parties de la réunion et chanter les cantiques."
540,Tjémbi di nlôl ni Djob i niiga ni ti bés hogbe,Des chants réconfortants et instructifs
541,"Mbidga: Bôk ndugi tuk nsik ngélé yada, mbus kal likoda le li tôp hiémbi hi mondo.","Rappel : Avant que l’assistance ne chante le nouveau cantique, faire écouter la musique une fois en entier."
542,U nlama tôp ni kiñ keñi kiki ngéda u mpot tole iloo ha.,"Tu devrais chanter aussi fort que tu parles, ou même plus fort."
544,"Ngéda bilôk bikéé gwés bi ntehe bés i makoda, bi ñemblege mandimbhe més, ni tjémbi di ntôp, lelaa hala a nhôla bo?","Aux réunions, quand nos frères et sœurs voient que nous sommes présents et entendent nos commentaires et nos chants, comment cela les aide- t- il ?"
545,"Mu kii a bé hoñol matémb ma bibégés bipubi i Yérusalem, ntôptjémbi a bi loñge inyu Yéhôva i hiémbi hi yé hana i ngii.","Réfléchissant à la réinstallation à Jérusalem, le psalmiste a chanté les paroles ci-dessus au sujet de Jéhovah."
546,Mu kiki Lôk Yuda i bé minkôm i Babilôn; i bééna bé ngôñ i tôp tjémbi.,"Exilés à Babylone, les Israélites n’avaient pas envie de chanter."
547,Nlôñ 4: Bingond gwobisôna bi ntôp tjémbi gw’a suhlana,Verset 4 : Les filles du chant semblent avoir la voix basse.
548,"Inyuki ni di nwas le, bikwéha gwés bi makiñ bi sôñga bés i bégés Yéhôva ni tjémbi?","Alors, pourquoi se retenir de chanter des louanges à Jéhovah à cause d’une voix de chant imparfaite ?"
549,"Hiémbi ’mondo, hi ñañal Ane Yésu;","Ce chant joyeux est chanté par les humbles,"
550,Baa yak bañga dinuni di gwé ngôñ le ba kôôbana tjo ngim nloñ le di nyodnege mu inyu puuwe?,Et qu’est- ce qui est plus joli : le bruit d’un avion ou le chant d’un oiseau ?
551,"I mbus 60 ñwii me ntégbaha mu biôn, me bi nôgda le me nyila toi bañga man Potô Rikô, hala wee coquí, jôl li nkoñgo wada u niñ nyoo i Potô Rikô, u u ntôp le ko-kee, ko-kee, i ngéda u u nsude.","Après 60 ans sur l’île, je me sentais aussi portoricain qu’une coquí, la fameuse petite grenouille portoricaine qui chante ko-ki, ko-ki à la tombée de la nuit."
552,"Ikété kaat Hiémbi hi Salômô, kiñe a ñunda le ngandak yé lingwañ i bi la bé boñ le a bana to numbe mudaa a ngwés.","Dans le Chant de Salomon, ou Cantique des cantiques, le roi reconnaît que même de fabuleuses richesses ne peuvent acheter l’amour."
553,"Ni nla ki nigil tjémbi di ga tuba i makoda. I mbus yigil, ni nla kabna bineene.","Certains aiment s’entraîner à chanter les cantiques pour les réunions, et trouvent agréable de boire ou de manger quelque chose après le culte familial."
554,"Lo, di bégés nye lôñni ñem maséé!","Chante avec moi, louons Dieu par des psaumes !"
555,"Ni hôya bañ: Soho ni emble ndugi nsik ngélé yada, mbus, likoda li ga tôp hiémbi hi yondo.","Rappel : Avant que l’assistance chante le nouveau cantique, faire écouter la musique une fois en entier."
556,"Ngéda Néhémia a bé éga bon ba Israel i tiimba oñ mapénd ma Yérusalem, a tjek ki batôp tjémbi ba Lôk Lévi inyu éga ntuba ni bikôkôda.","Quand le gouverneur Nehémia a dirigé la reconstruction de la muraille de Jérusalem, il a aussi organisé les chanteurs lévites avec un orchestre complet."
557,"Inyu kôhna biniigana bipe bi bi nhôla we i lémés kiñ yoñ i ntuba, béñge JW Nkuu Biliñgeliñge i sôñ Libuy li nyéé 2014 .",Tu trouveras d’autres conseils pour améliorer ta voix de chant dans le discours Préparons- nous à chanter les nouveaux cantiques sur JW Télédiffusion .
558,. Kii i nla sôñga bahogi i tôp tjémbi ni maséé i makoda ma sonde ni makoda makeñi?,. a) À cause de quoi certains hésitent- ils à chanter aux réunions et aux assemblées ?
559,"I mayibil ma témpel, nsik ni ntuba bi bééna mahee ngandak.","Lors de l’inauguration du temple, la musique et le chant ont eu un rôle important."
560,Man mbebi i bé pebek biléé bi dikôtô bi bisista.,Une douce brise venant du lac Érié soufflait sur les chapeaux à plumes des dames.
561,"Ha ngéda i, a nlama hô ño wé ni yañgés tole ni hikôtô.","Elle devra alors se couvrir la tête, en portant par exemple un foulard ou un chapeau ."
562,"Yésu a mbuñga bo ngii, inyu leñ bo isi.",Jésus les a chassés du ciel et il les a jetés sur la terre.
563,"Ikété njôô, Yésu a nkôp moni mi bôt ba nyuñga isi, a nkwéha bitéblé gwap, a buñgaga ki bo.","Indigné, Jésus répand par terre les pièces de monnaie des changeurs, renverse leurs tables et les chasse du Temple, eux et les marchands."
564,Kii i bi hôla Stephen i nwas hiun ni bibuk bibe?,Qu’est- ce qui a aidé Stephen à chasser la colère et les grossièretés ?
565,Kii ntagbe hana isi inyule ba bi buñga Satan i ngii?,"Depuis que Satan a été chassé du ciel, que se passe- t- il sur la terre ?"
566,"Baa u nhégda Élia a yé kééba inyu héya matôi ma nop i mis mé. A yé ôt ngwéé isi nop, a bigdaga hini hilo hi tôbôtôbô hi ntip tagbe.","Le vois- tu qui court et cligne des yeux pour chasser les gouttes, tout en repensant à la journée la plus mouvementée de sa vie ?"
567,Lelaa Yésu a ntimbhe i bet ba mbat nye ni imbe kunde a nluhul bahéñha moni?,Comment Jésus répond- il à ceux qui lui demandent de quel droit il a chassé les changeurs de monnaies ?
568,Djob a luhul bo i paradis ba bé yééne.,Dieu les a donc chassés du jardin d’Éden.
569,Yéhôva a ti bo ngui i pémés mimbuu mimbe ni mélés bakokon.,Jéhovah leur a donné le pouvoir de chasser les démons et de guérir les malades.
570,Yésu a bi bem loñge ngéda inyu ti banigil bé ngui i mélés bakokon ni pémés mimbuu mimbe.,Jésus a donné à certains de ses disciples le pouvoir de guérir les malades et de chasser les démons.
571,Bibel i ntoñol maséé biañgel bi bi ntéñbe ni Djob bi bééna ngéda ba bi buñga Satan ni mimbuu mimbe i ngii.,"La Bible explique que, quand Satan et les démons ont été chassés du ciel, les anges fidèles ont été très heureux."
572,"M’a kon bé me jam woñi,",Tu chasses tout ennemi.
573,Yéhôva a luhul bôt ba ndog iba bana ikété paradis.,Jéhovah a chassé le couple désobéissant du paradis.
574,Djob a bi luhul Adam ni Éva le ba nyodi paradis.,Dieu chasse Adam et Ève du Paradis.
575,"Kunda yada Yésu a yila Kiñe, a luhul Satan ni bibéba gwé bi biañgel i ngii, a leñ bo nyono bebe ni hisi.","Dès que Jésus est devenu Roi, il a chassé du ciel Satan et les anges méchants, et il les a lancés aux alentours de la terre."
576,Inyuki i mut a mpémés mimbuu mimbe a ta bé i kolba Yésu?,Pourquoi ne faut- il pas voir l’homme qui a chassé des démons comme un opposant ?
577,"Jiibe li yé mal, kel i nye.",Une aube vient chasser la nuit.
578,"A nleñ Satan hana ’si,","L’a chassé du ciel sur terre,"
579,"A bi yoñ minkôô, a bak hisôô, a pémés mintômba ni nyaga i i bé ikété témpel.",Il a fait un fouet avec des cordes et il a chassé du Temple les moutons et les bœufs.
580,Kii bi tagbe i ngii ngéda ba bi buñga Satan?,"Quand Satan a été chassé du ciel, que s’est- il passé ?"
581,"Ngéda ñôma Paul a bi pémés mbuu mbe u, hingonda hi bi nimis ngui a bééna inyu yelel mam ma nke lo.","Quand Paul a chassé le démon, elle a perdu son pouvoir."
582,"Banjemnje ba, ba gwé ngap i kiiña kiki dinuni di bikei bi gwét inyu ndék batjaktjak ndigi.","La drosophile est un tout petit insecte capable de prendre des virages aussi serrés que ceux des avions de chasse, mais en une fraction de seconde seulement !"
583,Yéhôva a bi kat Satan i ngii.,Jéhovah a fait chasser Satan des cieux .
584,"I jôp sum sum ikété yigil i nla hôla we i timbhe mambadga, i mélés pééna yo ki yo, ni i ba nkwoog nkaa ni mam u nhémle.","Une étude individuelle profonde peut t’aider à répondre à des questions, à chasser tes doutes si tu en as, et à renforcer tes convictions ."
585,"Mbus ndék ngéda le Yésu a nyila Kiñe, a bi buñga Satan i ngii, a nléñ nye hana isi.","Peu de temps après être devenu Roi, Jésus a chassé Satan du ciel et il l’a jeté sur la terre."
586,"Hémle i bi mélés pééna, me bôdôl ki nôgda ngandak maséé.",La foi a chassé le scepticisme. J’étais beaucoup plus heureuse.
587,Baa i nla ba le baéga ba nsôk yi le nyen a yé toi Kristô?,Les chefs seraient- ils finalement convaincus que celui-ci est le Christ ?
588,"Yak baéga biprisi ni bayimbén ba kalna bo ni bo le: Ibale a yé Kristô, Kiñe Lôk Israel, a sôhôk ni nano i kék njiiha inyu boñ le di tehe, di hémle ki.","De même, les prêtres en chef et les scribes se disent entre eux : Que le Christ, le roi d’Israël, descende maintenant du poteau de supplice."
589,Munlôm a nlama yi kii yé i ba ño i ndap lihaa i kristen.,Un homme doit savoir ce que signifie être le chef d’une maisonnée chrétienne.
590,"Ibale munlôm a nsômbôl biiba, a nlama badba too a yé bebee i ba ño u ndap lihaa.","Si un homme pense à se marier, il doit se demander s’il est prêt à assumer la responsabilité de chef de famille."
591,"Jon Yuda a nke yéñ Yésu, nye ni limut likeñi li biprisi ni Farisai.","Judas part donc à sa recherche, emmenant avec lui une foule de prêtres en chef et de pharisiens."
592,Lelaa di nyi le baéga ba bibase bi ndôk bikristen ba ñañal bé ñwin Yésu a bat banigil bé le ba añal?,Comment savons- nous que les chefs de la chrétienté ne prêchent pas le bon message ?
593,Imbe mbegee Bitilna bi nti basañ mbai?,Quelle responsabilité biblique les chefs de famille ont- ils ?
594,"Baéga base ba unup, ba kahal yéñ manjel i nol baôma.",Les chefs religieux étaient tellement en colère qu’ils ont voulu tuer les apôtres.
595,Nkena nu mondo ni bôda ba makénd iba,Un nouveau chef et deux femmes courageuses
596,"Inyu noñ ndémbél yé, basañ mbai ni mimañ, ba ba ngwés énél i Djob, ba nlama bé nyégsa bôt i boñ mam wengoñle ba gwé yap énél.","Les chefs de famille et les anciens qui aiment sa souveraineté ne voudront pas exiger les choses, comme s’ils exerçaient leur petite souveraineté à eux."
597,Baéga bibase bi Lôk Yuda ba nhoñol le i mélés makon i yé kunde i kel Sabat ndik ngéda mut a yé bebee ni nyemb.,"D’après les chefs religieux juifs, on peut soigner quelqu’un le jour du sabbat seulement si sa vie est en danger."
598,"Mu kii ñane sônda a mal pôdôs bôt bé, bakén ba bôt iba ba lo ipañ lihaa li, ba yimbe bo kiki Mbôgi Yéhôva.","Pendant que le chef parlait avec ses hommes, deux inconnus se sont dirigés vers la famille."
599,"Mut binam nye kiki nye nu a yé ñénél, a nla bé boñ loñge i likala Yésu a nla boñ.",Jésus a le pouvoir de faire beaucoup plus de bien que n’importe quel chef politique humain.
600,Imbe njom baéga bibase ba ñôm Yésu?,De quoi les chefs religieux accusent- ils Jésus ?
601,"Gwigil bini gwobiba bi ga hôla bés i tééda ñem nwee, ni i bôdôl Ñéga wés ñem le Kristô, ngéda mam ma mpémél bés i niñ yés, ma di bemek bé.","Dans ces deux articles, nous verrons comment garder notre paix intérieure et notre confiance dans notre Chef, le Christ, même quand des changements bouleversent notre vie."
602,"To hala kiki énél i Lôk Rôma i bé lémél bé bon ba Lôk Yuda, baéga biprisi bi nkal le: Di gwé bé kiñe ipe handugi Kaisa.","La domination romaine irrite les Juifs depuis longtemps et, pourtant, les prêtres en chef affirment : Nous n’avons pas d’autre roi que César ."
603,Basañ mbai ni bôt ba niñ botama ba yé kunde i yoñ makidik mu mam ma.,Chaque personne ou chaque chef de famille est donc libre de faire des choix dans ces domaines.
604,"Inyuki bisônda bi ngwel bé Yésu, kii baéga bibase ba mboñ?","Pourquoi les agents n’arrêtent- ils pas Jésus, et comment les chefs religieux réagissent- ils ?"
605,Balôm ba nlama ti Yésu Kristô nu a yé ño wap lipém. Ba mboñ hala i ngéda ba nkôna lelaa Yésu a ñénél likoda.,Le mari témoigne du respect pour son Chef Christ Jésus en imitant la manière dont Jésus exerce l’autorité sur la congrégation .
606,Lelaa muda a nlama tehe libak le nlôm a yé ño u lihaa?,b) Comment le mari doit- il exercer sa responsabilité de chef de famille ?
607,Kristô a yé ño ntôñ.,Le Christ est chef de l’assemblée .
608,Yésu a gwé ki lipémba li nlel ngui i baane bobasôna ba nkoñ isi.,Il est plus puissant que tous les chefs politiques réunis.
609,"Dikoo di mbok di gwel béba kiñe muda, di kena nye haa, di nol nye.","Les chefs ont attrapé la méchante reine, ils l’ont emmenée au palais et ils l’ont tuée."
610,Di bôdôl Kristô ñem Ñéga wés nu a gwéa ni nson,"Faisons confiance à notre Chef, le Christ"
611,"Ikété nkoñ isi wonsôna baéga ba bibase ba bi añle bôt gwéha, nsañ, ni loñge, ndi ba bi bôñôl ôa, gwét, ni liyan Djob.","Sur la terre entière, des chefs religieux ont prêché l’amour, la paix et la bonté, tout en pratiquant la haine et l’impiété, et en participant aux guerres."
613,"HÉGDA le u nhiôm juu, i ngim njel i gwé jiibe.",IMAGINEZ que vous marchiez un soir sur un chemin sombre.
614,"Ngéda a bé témb, mu njel yé, mpôdôl a boma mañ mut wada u u bé lôl i Bétel, nkoñ wada mu libôga.","Sur le chemin du retour, le prophète a rencontré de façon inattendue un vieil homme de Béthel."
615,"Kiki bitééne bi bi ga yon ndik, Yésu a ga boñ mam inoñnaga ni bibuk a bi gwélél inyu pôdôl nyemede le: Men me yé njel, me yé maliga, me yé ki niñ.","Et alors que ce projet se poursuivra pour l’éternité, il se montrera entièrement fidèle à la description qu’il a donnée de lui- même : Je suis le chemin, la vérité et la vie ."
616,"M’a ti we maéba, me niiga ki we i njel u nlama kil.",Je [...] t’enseignerai le chemin où tu dois aller .
617,"Ndi i ngéda u nand yo nonok, mapubi mé ma ngui ma mbéyés njel yoñ haa.","Et quand vous l’orientez vers l’avant, son faisceau lumineux éclaire votre chemin loin devant vous."
618,A ñéga me le me noi.,En paix sur de doux chemins.
619,"Mu kii a yé ke, a ntehe Matéô nu ba nsébél ki le Lévi, a yii i yééne bakottas.","En chemin, il aperçoit Matthieu, aussi appelé Lévi, assis au bureau des impôts."
620,Djob a mal ôm yo siñ.,c’est le chemin béni.
621,"Ibale u ma nôgda hala, bigda bibañga bi Yéhôva bini le: Men me yé Yéhôva Nyambe woñ, Nu a niiga we, le hala a bahle we, Nu ki a nhiômna we njel u kôli kil.","Si c’est ce que tu ressens, rappelle- toi ce que Jéhovah a dit : Moi, Jéhovah, je suis ton Dieu, celui qui t’enseigne pour ton bien, celui qui te guide sur le chemin où tu dois marcher."
622,"Di nhémle le n’a ba maséé i nigil mam mape ma mbéñge Yésu, njel, maliga, ni niñ.","C’est pourquoi vous apprécierez certainement d’en apprendre davantage sur Jésus, le chemin, la vérité et la vie !"
623,"Maselna ni hala, inyu bôt ba litén, biniigana bi Yésu bi yé maliga, bi yé ki njel i nkena i niñ.","À l’inverse, les gens du peuple considèrent les enseignements de Jésus comme la vérité et le chemin de la vie."
624,"Hee Yésu a yé ke, kii a nkal Tômas inyu njel i nke nyoo?","Où Jésus est- il sur le point d’aller, et que dit- il à Thomas à propos du chemin pour y accéder ?"
625,"YÉSU A YÉ TOI NJEL, MALIGA, NI NIÑ","JÉSUS EST BEL ET BIEN LE CHEMIN, LA VÉRITÉ ET LA VIE"
626,"I bana niñ, ini yon i yé njel,","C’est le chemin, le chemin de la vie."
627,"U nla kida u nluk litôa, u hémlege le w’a léba loñge njel ni wemede.","Continuer à rouler, en espérant qu’au bout d’un moment tu retrouveras ton chemin."
628,"Bigda le Yésu nyemede a bi kal ñôma Tômas le: Men me yé njel, me yé maliga, me yé ki niñ.","Rappelez- vous ce que Jésus Christ a dit à l’apôtre Thomas : Je suis le chemin, la vérité et la vie."
629,"A bé wengoñle me yé nimlak, inyule me bé yi le di bé lama ha bé ba mawanda.","C’était comme si tout mon univers s’écroulait, parce que je savais que nos chemins allaient se séparer."
630,Ñoo a nyéñ le ni Djob di bagla.,nous incitent à rebrousser chemin.
631,"U ntéñbe hi kel i kil mu njel yé,","Qui jour après jour suivez son chemin,"
632,"Ni njel eem, a nkal bayitjôdôt le ba yoñ njel ipe inyu témb i loñ yap.","Dans un rêve, il leur demande de repartir par un autre chemin ."
633,"Kazuhirô a nkal le: Jam li, li bi lédés hémle yés ikété mbônga di nléba i kaat Tjémbi 37:5: ‘Bii njel yoñ yak Yéhôva; bôdôl ki nye ñem, ndi a’ boñ jam.’","Kazuhiro déclare : Cette expérience a renforcé notre foi dans cette promesse contenue en Psaume 37:5 : Laisse Jéhovah tracer ton chemin ; compte sur lui, et il agira en ta faveur."
634,"Yak ngandak ikété bôt ba libôga jem ba kal me le: A Araséli, kenek ni bisu mu njel u mal pohol!","Même des voisins m’ont dit : Araceli, continue, continue sur ce chemin que tu as choisi !"
635,Yak kaat Bingéngén 16:31 i nkal le: Ño mbu u yé ntut lipém won u nlébna mu njel telepsép.,"De même, Proverbes 16:31 déclare que les cheveux blancs sont une couronne magnifique quand ils se trouvent sur le chemin de la justice ."
636,"Ni njel i, Yésu a nla niiga maliga ma Djob, ni unda bôt njel i nkena niñ.",Il est à présent en mesure d’enseigner les vérités venant de Dieu et de montrer aux gens le chemin de la vie.
637,"I bôt ba yé Nazir, ba mboñ malômbla ma ma nsôña bo i nyo mook ni i kit tjôñ tjap.",Les naziréens étaient soumis à un vœu qui comportait l’interdiction de boire de l’alcool et de se couper les cheveux.
639,"Mut nu a bi bok mankéé Russell mis, mu kii a bé a héba kôdi i nhénd, a ban-ga puba tjôñ ni liyéé li mpôp.","Il écoute attentivement l’orateur à la barbe et aux cheveux blancs, portant une longue veste noire."
640,"Biyik gwé bi bi haba malep, bi yôi tjôñ tjap, bi jek ndik ndék, bi tjél jogop.","Ses femmes se sont habillées de noir, se sont arraché les cheveux par désespoir, ont mangé très peu et ne se sont pas baignées."
642,"Tjôñ di Nébukadnézar di put nye wengoñle tjimba di minyôgôl, gwalak gwé ki bi ap wee gwalak bi dinuni.","Ses cheveux sont devenus aussi longs que les plumes des aigles, et ses ongles étaient comme les griffes des oiseaux."
644,Yak kaat Bingéngén 16:31 i nkal le: Ño mbu u yé ntut lipém won u nlébna mu njel telepsép.,"De même, Proverbes 16:31 déclare que les cheveux blancs sont une couronne magnifique quand ils se trouvent sur le chemin de la justice ."
645,"Gwiiha bi nyodi nye mis bi kwélak makôô ma Yésu, a sahak mo ni tjôñ tjé.","Elle pleure sur les pieds de Jésus, les essuie avec ses cheveux, puis les embrasse tendrement et verse dessus une huile parfumée qu’elle a apportée."
646,Ño wé mbu u nkônde ti bibañga gwé ngui.,Ses cheveux blancs donnent du poids à ses mots.
647,I hol i pes mbuu yak i biuni,Ils prospèrent spirituellement durant les cheveux gris
648,I hol i pes mbuu yak i biuni:,Ils prospèrent spirituellement durant les cheveux gris :
650,"Kaat Lôk Lévi 19:32 i nkal le: U nyodak ’isi, i telep bisu bi mut mbu ño, ndi u tinak mañ mut womede lipém, u konok ki Nyambe woñ woñi.","Lévitique 19:32 déclare : Tu te lèveras devant les cheveux blancs et tu dois honorer les personnes âgées, et tu dois craindre ton Dieu."
651,Ño mbu u yé ntut lipém,Qu’ils sont beaux les cheveux blancs
652,"Ipôla nwii 1990 ni 2016 i loñ Amérika, nsoñgi u mabii ma ma mbos hiki nwii u bi bet ngélé iba inyu bôt ba nloo 50 nwii, ndi inyu bôt ba nloo 65 nwii, u bi bet ngélé iaa.","Selon les chiffres de l’Insee, entre 1990 et 2015, le taux de divorce en France a doublé chez les personnes mariées depuis plus de 30 ans, et a triplé chez celles mariées depuis plus de 40 ans."
653,"Nsoñgi bôt kaat Ñanga bôt i nti, u mpôdôl yak bet ba loñ tole baéga litén, ba bakéés ba bi nol, nsoñgi wap u bé 1 000 bôlôm, yak ni bet Yéhôva a bi nol nyemede.",Il est plausible qu’ils aient été un millier. Ce chiffre s’ajouterait à celui des Israélites exécutés directement par Jéhovah.
654,"I mbus ha, ñañga u ñwii 1916 u ñunda le 809 393 ma bôt ba bi lo i makoda ma mbamba i Amérika, ndi u ñwii 1918 i nomba i, i bi pam 949 444 ma bôt.","Des rapports indiquent en outre qu’en 1916 l’assistance aux réunions publiques aux États-Unis s’est élevée à 809 393 personnes, et ce chiffre est passé en 1918 à 949 444."
655,"Ba kalak le, lelaa a nla kal le: Men me yé koga i nlôl i ngii.",Comment peut- il prétendre être le pain qui est descendu du ciel ?
656,BA BÉ sébél bikaat bi le nyum.,ON APPELAIT ces livres la collection arc-en-ciel .
657,"Kiki Yésu a boñ i Galiléa, a nkônd bôt ba yé bat nye ngim yimbne i nlôl i ngii.","Tout comme il l’a fait en Galilée, Jésus réprimande ceux qui lui demandent un signe du ciel."
658,"Yésu a mbuñga bo ngii, inyu leñ bo isi.",Jésus les a chassés du ciel et il les a jetés sur la terre.
659,"Ikété mop ma bon ba Kanaan ba bé béghak, li bisu li bé Baal, djob li ntômbôs hisi inyu boñ le hi ti bijek, nu a bé nene kiki djob li ngii, li nop, li mbuk mbebi.","Les Cananéens avaient pour principal dieu Baal, dieu de la fertilité, également considéré comme divinité du ciel, de la pluie et de la tempête."
660,Inyu ti mbamble: I La Tour de Garde nunu a ntoñle bés mam Yésu bo Isañ ba bi yelel inyu liyééne jap nyoo ngii.,"Offre : En lisant cet article de La Tour de Garde, vous découvrirez ce que Jésus et son Père nous apprennent sur le ciel."
661,"Inoñnaga ni kaat Matéô 17:1-5, imbe ngéda Yéhôva a bi pot kiñ i lôlak i ngii, kii a kal?","Selon Matthieu 17:1-5, à quelle occasion Jéhovah a- t- il parlé depuis le ciel, et qu’a- t- il dit ?"
662,Inyuki di ntehe mintén ni mintén mi minsonol i ngii?,Pourquoi voyons- nous différentes couleurs dans le ciel ?
663,"Bet ba nti toi nye lipém ba nyi le kikii a yé Nhek ngii ni hisi, nyen a kéhi ngii ngiinda yosô, ba nsuhul ki bomede ni gwéha i si yé kikii Ñane biniñ gwap.","Nous mettrons notre confiance en lui en tout temps et de tout notre cœur . Pour ceux qui l’honorent réellement, en sa qualité de Créateur du ciel et de la terre, il est le Souverain de l’univers, et aussi de leur vie ; ils se soumettent donc à lui avec amour."
664,"Bikristen bi bi yé minhook bi nso mintingil nwap mi mbot, i nya yé le bi mpôp i mis ma Yéhôva, a bi ti ki bo niñ i ngii i het bi ga wo ha bé, ni i het bi ga ba maséé i boga ni boga.","Les chrétiens oints le font en ce sens que Jéhovah les considère comme purs et qu’il leur accordera la vie immortelle au ciel, ce qui leur vaudra un bonheur sans fin."
665,"Ñôma Yôhanes a bi ti ñañga wap ngéda a bi tehe Yésu a téé ngii hikôa Siôn [nyoo ngii], nye ni 144 000 bôt.","L’apôtre Jean a donné leur nombre exact : il a vu Jésus qui se tenait debout sur le mont Sion [au ciel], et avec lui 144 000 ."
666,Yéhôva a bi pohol 144 000 bôt i ke niñ i ngii.,Jéhovah a décidé que 144 000 humains vivraient au ciel.
667,"I Pes 8, di bi nigil le Yésu a bi yila Kiñe i ngii i ñwii 1914.","Dans le chapitre 8, nous avons appris que Jésus est devenu Roi au ciel en 1914 ."
668,"Ñañ wé nlam u nti ki bôt hogbe le, ndék ngéda Ane Ngii i Nyambe i ga mélés béba, i yilha ki hisi paradis.","Elle s’attache à consoler tous les humains par cette bonne nouvelle : depuis le ciel, le royaume de Dieu supprimera bientôt toute méchanceté et transformera la terre en paradis."
669,"Ndi i kel Lôt a bi nyodi i Sôdôm, nop hié ni solfa a no, a lôlak i ngii, a tjé bobasôna.","Mais le jour où Loth est sorti de Sodome, une pluie de feu et de soufre est tombée du ciel et les a tous détruits."
670,"Banigil ba bi kida ba nun ngii, ndi Yésu a bé nkenek.","Ses apôtres continuaient de regarder vers le ciel, mais il était parti."
671,Soohe le sômbôl i Djob i bôña ngii ni isi.,"Priez pour que la volonté de Dieu soit faite sur la terre, comme elle est faite au ciel."
